Feature1,Feature2,Feature3,ComLevel
2315.5,2348.9,2308.05,2331.2
2358.7,2400,2335.05,2391.3
2391.1,2412.95,2359,2402.7
2409,2433,2379.7,2398.1
2387.5,2429.9,2360.3,2416.3
2421.9,2440,2402,2420.05
2408.1,2439.95,2408.1,2421.95
2400,2412.05,2347,2362.95
2333.6,2333.6,2255.6,2281.4
2275,2289.9,2258.1,2268.8
2280,2289,2171.65,2197.95
2200,2243.4,2164,2226.6
2250,2306.85,2240,2269.15
2266,2282,2243,2265.55
2265,2279.65,2246.4,2275.55
2285,2319.75,2278,2315.85
2307.35,2327,2305.45,2319.65
2320.25,2343,2305,2315.9
2310.25,2319.9,2256.75,2264
2262.45,2262.45,2201.2,2210.95
2219.8,2228,2185.65,2212.85
2229.7,2256.9,2199.6,2210.5
2237,2237,2115,2176.8
2193,2285.1,2162,2276.65
2305,2330,2256.25,2318.85
2336,2391,2301,2373.15
2380,2380,2349.55,2357.55
2342.1,2367,2304.2,2354.3
2341,2369.4,2295.15,2357.25
2356.05,2359.85,2314.95,2348.3
2340,2390.85,2335,2365.25
2362,2398,2340,2355
2349.05,2363.5,2320.1,2329.9
2315,2332,2306.9,2327.05
2334,2361.8,2332,2352.05
2360,2430,2360,2425.85
2426,2454.95,2420,2446.25
2442,2485,2436.5,2473.1
2487.9,2487.9,2457.3,2473.8
2491,2517.15,2461.55,2473.4
2478,2486.95,2455,2469.4
2470.9,2505,2460,2489.5
2478.3,2550,2472.15,2520.3
2505,2520.85,2434.1,2453.9
2456,2488,2447,2471.25
2470.8,2484.9,2442.05,2462.75
2470,2489,2459.35,2481.9
